,Name,PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,F2,PEPOCH,DM,DIST,W50,W10,S400,S1400,SPINDX,PSRTYPE,NGLT
2352,J2007+20,J2007+20,20:07,+20:21,*,0.215796,*,*,*,67.00,3.72,*,*,*,*,*,RRAT,*
2353,J2007+2722,J2007+2722,20:07:15.8,+27:22:47.9,55319.00,40.820678,-1.602e-15,*,55319.00,127.00,6.85,16.000,*,*,2.10,*,*,*
2354,J2007+3120,J2007+3120,20:07:09.0,+31:20:51.5,54920.00,1.644182,-4.218e-14,*,54920.00,191.50,7.28,8.700,*,*,0.12,*,*,*
2355,J2008+2513,J2008+2513,20:08:35.4,+25:13:30.3,49079.50,1.697230,-1.554e-14,*,49079.50,60.55,3.22,11.000,32.000,2.70,*,*,*,*
2356,J2009+3326,J2009+3326,20:09:49.1,+33:26:10.2,54430.00,0.695232,-7.096e-16,*,54430.00,263.60,10.73,26.700,*,*,0.15,*,*,*
2357,J2010-1323,J2010-1323,20:10:45.9,-13:23:56.0,55657.00,191.450912,-1.767e-16,*,52500.00,22.16,1.29,0.280,0.440,*,1.60,*,*,*
2358,J2010+2845,J2010+2845,20:10:05.0,+28:45:29.1,54810.00,1.768755,-2.838e-16,*,54810.00,112.47,6.03,13.600,*,*,0.43,*,*,*
2359,J2010+3230,J2010+3230,20:10:26.5,+32:30:07.3,54430.00,0.693266,-1.738e-15,*,54430.00,371.80,18.89,28.800,*,*,0.12,*,*,*
2360,J2011+3331,J2011+3331,20:11:04.9,+33:31:24.6,54490.00,1.073269,-2.057e-15,*,54490.00,298.58,12.95,30.600,*,*,0.38,*,*,*
2361,J2012-2029,J2012-2029,20:12:46.6,-20:29:31,54987.00,1.838229,-1.850e-15,*,54987.00,37.67,3.92,24.200,*,*,*,*,*,*
2362,J2013-0649,J2013-0649,20:13:17.7,-06:49:05.3,55172.00,1.723581,-1.785e-15,*,55172.00,63.36,4.85,10.000,*,*,*,*,*,*
2363,J2013+3058,J2013+3058,20:13:34.2,+30:58:50.6,54600.00,3.622825,-1.994e-15,*,54600.00,148.70,6.88,2.900,*,*,0.07,*,*,*
2364,B2011+38,J2013+3845,20:13:10.3,+38:45:43.3,49718.00,4.344169,-1.670e-13,2.600e-26,49718.00,238.22,13.07,22.700,40.000,26.00,6.40,-1.10,*,*
